wid,time,text,uid,like_count,username,following,followed,gender
4.50E+15,Fri Apr 24 08:44:52 +0800 2020,一个铁粉的倔强,7232841101,1,一只老破球,738,614,f
4.50E+15,Fri Apr 24 22:27:39 +0800 2020,第二部会加入SM的元素吗,3529824193,0,#NAME?,601,55,m
4.37E+15,Fri Apr 26 20:48:26 +0800 2019,什么时候可以买到光盘，我已经买了五张电影票了。,3207737425,2,最美的闪电,101,70,m
4.40E+15,Fri Aug 09 10:36:10 +0800 2019,上海堡垒真的就是👶👶,5194673196,6,十甫生,47,38,m
4.40E+15,Fri Aug 09 11:14:02 +0800 2019,看着,5818767386,0,_sS姗,71,124,f
4.40E+15,Fri Aug 09 21:44:56 +0800 2019,回来洗眼睛,6262092367,2,卒卒卒不了,35,20,f
4.41E+15,Fri Aug 16 17:57:59 +0800 2019,加油小破球(๑&gt;؂&lt;๑）,6205465780,0,我的世界19361,63,0,m
4.41E+15,Fri Aug 16 22:47:14 +0800 2019,完整版什么时候出啊，等大半年了,5493823934,0,柠蒙小姐,203,67,f
4.45E+15,Fri Dec 06 11:31:53 +0800 2019,biu,6465711907,0,一个两个三个提子oo,54,3,f
4.33E+15,Fri Feb 01 02:43:52 +0800 2019,我常痴心妄想，把自己比作地球，身体内细胞各司其职分工明确有条不紊，人类遵循着自己的一套在改变和被改变中形成社会体系。蓝色星球承载了那么多脆弱生命，在宇宙中毫无回应时是否孤独。万亿年寿命，细胞一代代更迭，绽放又枯萎，人类爱恨交错，不断探索，她却始终在期待救援，盲目流浪,2764069195,10,姓李字恨嫁,860,756,f
4.33E+15,Fri Feb 01 17:41:18 +0800 2019,中国电影需要新的动力，中国科幻电影始终没有很好的作品不仅是技术能力问题，而是大多数人对中国制造缺乏信心，更多的资本把甘愿把市场风险押在了各种头部明星和流浪小生，也不想给予行业发展一点机会，演员是为电影服务的，而不是电影为演员做嫁衣，希望社会给予中国电影发展更多的支持与信任！,3118331635,1,少俠的江湖,459,601560,m
4.34E+15,Fri Feb 08 00:03:34 +0800 2019,八亿海报呢？？这都快破九亿了,6452947731,5,罗车咠的山楂树,986,201,f
4.34E+15,Fri Feb 08 00:23:26 +0800 2019,二刷小破球了.因为歌曲《有种》才看的.虽然影片还没达到制高点.但就中国目前的科幻片来说.已经算很不错的了.因为有种.所以倔强.继续加油！,1805178282,6,365751148slzyyg,661,318,f
4.34E+15,Fri Feb 08 00:47:35 +0800 2019,二刷走起,2842132103,1,九里-turbo,310,254,f
4.34E+15,Fri Feb 08 02:31:00 +0800 2019,目前为止！中国最优秀的科幻影片！,3663425481,8,哈尼大叔哈尔滨,217,4191,m
4.34E+15,Fri Feb 08 09:40:16 +0800 2019,炒鸡好看,5668145830,3,小甜发财了,28,334,f
4.34E+15,Fri Feb 08 10:07:58 +0800 2019,"我还有个愿望，希望电影人们制造一个属于中国的英雄人物，让我们的中国小朋友们崇拜自己的英雄人物，别在去崇拜奥特曼，超人，钢铁侠……！看到祖国的未来摆弄他们人偶时很自豪很豪迈时，我很难过<span class=""url-icon""><img alt=[挖鼻] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_wabishi-842338e697.png"" style=""width:1em; height:1em;"" /></span>",5769768578,19,立秋叶归根,274,20,f
4.34E+15,Fri Feb 08 10:14:45 +0800 2019,谢谢，没有你就没有今天我那么喜欢的《流浪地球》,5137839237,4,银河慢吻,329,79,f
4.34E+15,Fri Feb 08 10:38:05 +0800 2019,9亿啦！！！！！！！！！,6031794503,1,北京第三区交通委宣传处,189,6,m
4.34E+15,Fri Feb 08 11:35:54 +0800 2019,流浪地球，必须看。,6162252487,1,藩品艺术,870,390,f
4.34E+15,Fri Feb 08 12:09:28 +0800 2019,"会有设定集和周边吗<span class=""url-icon""><img alt=[泪] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_lei-1b4b02f8b1.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[泪] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_lei-1b4b02f8b1.png"" style=""width:1em; height:1em;"" /></span>想买",2310871185,1,啃了个鸡,1046,36691,m
4.34E+15,Fri Feb 08 12:16:56 +0800 2019,京哥加油↖(^ω^)↗,3769523393,3,韩傻蛋-,42,150,f
4.34E+15,Fri Feb 08 12:44:27 +0800 2019,"这是一部本可以超越战狼2的电影，但不知道你们官方是怎么想！<span class=""url-icon""><img alt=[哼] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_heng-fe4c7da3e7.png"" style=""width:1em; height:1em;"" /></span>尽然先在韩国上映，你们不知道韩国传过来的枪版已经能达到高清了吗！真为这部电影感到可惜！好好的一部能过几十亿的电影，让你们官方为了先赚点小钱，活生生的把这么好的一部电影票房折腾没了！！<span class=""url-icon""><img alt=[悲伤] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_beishang-f8d6de06c8.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[悲伤] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_beishang-f8d6de06c8.png"" style=""width:1em; height:1em;"" /></span>",5702162206,1,GL尤夏,25,63,m
4.34E+15,Fri Feb 08 14:41:10 +0800 2019,"凭良心说，这是我看的最好看的国产科幻片了，京哥真是投资天才<span class=""url-icon""><img alt=[赞] src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_zan-e3d1e596da.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[赞] src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_zan-e3d1e596da.png"" style=""width:1em; height:1em;"" /></span>//<a href='/n/吳京'>@吳京</a>:多谢师弟//<a href='/n/彭于晏'>@彭于晏</a>:夠燃 夠讚 春節必看 <span class=""url-icon""><img alt=[good] src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_good-644bcfa993.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[good] src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_good-644bcfa993.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[good] src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_good-644bcfa993.png"" style=""width:1em; height:1em;"" /></span><a href='/n/吳京'>@吳京</a>",3488430662,1,向上向善好同志,992,512,m
4.34E+15,Fri Feb 08 15:28:16 +0800 2019,"肿么办。我还是很激动<span class=""url-icon""><img alt=[允悲] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-9aa3c436a4.png"" style=""width:1em; height:1em;"" /></span>",5417512370,10,改革与黑竹沟,1215,152,m
4.34E+15,Fri Feb 08 15:47:11 +0800 2019,第二部票房五十亿的国产电影即将诞生。战狼牛逼！流浪地球牛逼！吴京牛逼！中国牛逼！,2343243995,80,越过山丘喋喋不休白了头,189,593,m
4.34E+15,Fri Feb 08 15:51:37 +0800 2019,每年都有一部你的戏让人难忘，我们等战狼3再创辉煌,6066366315,4,冰灵木兮,441,233,m
4.34E+15,Fri Feb 08 16:04:31 +0800 2019,"好片！<span class=""url-icon""><img alt=[赞] src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_zan-e3d1e596da.png"" style=""width:1em; height:1em;"" /></span>//<a href='/n/吳京'>@吳京</a>:多谢师弟//<a href='/n/彭于晏'>@彭于晏</a>:夠燃 夠讚 春節必看 <span class=""url-icon""><img alt=[good] src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_good-644bcfa993.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[good] src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_good-644bcfa993.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[good] src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_good-644bcfa993.png"" style=""width:1em; height:1em;"" /></span><a href='/n/吳京'>@吳京</a>",2140489314,1,雷行y,764,509,m
4.34E+15,Fri Feb 08 16:37:32 +0800 2019,哇，官方自来水,6189722233,459,梁楓Bellegarde,774,258,f
4.34E+15,Fri Feb 08 16:37:56 +0800 2019,吹爆流浪地球,5625620524,26,珍珠奶茶喝奶茶,175,205,f
4.34E+15,Fri Feb 08 16:38:11 +0800 2019,好看，大家去看吧，今天看了一句话，别想物理与科学，真挑毛病，小孩子都会。去享受电影吧。,2310437247,286,陶星伊i,982,294,f
4.34E+15,Fri Feb 08 16:38:14 +0800 2019,震撼人心啊，真是让人有点吃惊，我们也能拍出这样的电影,1679866717,365,大地湾浪人,577,28409,m
4.34E+15,Fri Feb 08 16:38:18 +0800 2019,"说真的，没有流量明星之后特效就上去了<span class=""url-icon""><img alt=[doge] src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_doge-861403219c.png"" style=""width:1em; height:1em;"" /></span>",6019227703,3547,电影镜头,395,192263,m
4.34E+15,Fri Feb 08 16:38:24 +0800 2019,央视爸爸帮忙科普啦,1349045903,42,慢小呆001,498,198,f
4.34E+15,Fri Feb 08 16:38:25 +0800 2019,"北京第三区交通委提醒您：道路千万条，安全第一条；行车不规范，亲人两行泪。<span class=""url-icon""><img alt=[doge] src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_doge-861403219c.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[doge] src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_doge-861403219c.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[doge] src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_doge-861403219c.png"" style=""width:1em; height:1em;"" /></span> 北京第三区交通委发来贺电，祝贺流浪地球，勇破十亿！<span class=""url-icon""><img alt=[鼓掌] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_guzhang-a35dfd4d70.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[鼓掌] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_guzhang-a35dfd4d70.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[鼓掌] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_guzhang-a35dfd4d70.png"" style=""width:1em; height:1em;"" /></span> ",1970835151,1214,海中岛中湖中岛,1531,1228,m
4.34E+15,Fri Feb 08 16:38:33 +0800 2019,记得大刘说过，科幻小说不是传播知识，只要有人能因为科幻小说对科学产生兴趣，那就是最大的贡献了,1730400284,1253,这是一个神奇的昵称2009,809,163,m
4.34E+15,Fri Feb 08 16:38:40 +0800 2019,厉害啦，我大央视也甘当破球的自来水了，祝票房大卖,1528427130,15,shaiiwe,438,161,m
4.34E+15,Fri Feb 08 16:38:44 +0800 2019,"硬科幻的魅力所在<span class=""url-icon""><img alt=[笑而不语] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_heiheihei-f7ca09d6e8.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[笑而不语] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_heiheihei-f7ca09d6e8.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[笑而不语] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_heiheihei-f7ca09d6e8.png"" style=""width:1em; height:1em;"" /></span>恶补大刘小说中",6517327369,33,爱豆有饭,247,1001973,f
4.34E+15,Fri Feb 08 16:38:48 +0800 2019,被科普了，有续集吗？,1415991861,22,江南竹,1600,47062,m
4.34E+15,Fri Feb 08 16:39:07 +0800 2019,美国人开着飞船逃难 中国人带着地球逃难 足见中国人的家国情怀,6152414687,1518,你2444,443,12207,f
4.34E+15,Fri Feb 08 16:39:20 +0800 2019,"真的好看<span class=""url-icon""><img alt=[good] src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_good-644bcfa993.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[good] src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_good-644bcfa993.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[good] src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_good-644bcfa993.png"" style=""width:1em; height:1em;"" /></span>新年档的惊喜",5870267617,1,明銘FM,615,4846,f
4.34E+15,Fri Feb 08 16:39:34 +0800 2019,道路千万条，安全第一条，行车不规范，亲人两行泪,3993834659,261,official_wangwang,5,0,m
4.34E+15,Fri Feb 08 16:40:53 +0800 2019,"真的很震撼，就是剧情让人揪心，我在荧幕前是泪两行<span class=""url-icon""><img alt=[泪] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_lei-1b4b02f8b1.png"" style=""width:1em; height:1em;"" /></span>",1671793587,1,喜欢小胡一天一天,603,482,f
4.34E+15,Fri Feb 08 16:41:10 +0800 2019,流浪地球真的可以 好多没有想到的细节 慎思极恐 #有种(电影《流浪地球》推广曲)[音乐]# 小破球冲鸭！！,5018447057,53,怎么老放臭屁,556,999,f
4.34E+15,Fri Feb 08 16:41:47 +0800 2019,战狼N,2008572705,1,majingzhujingjiawoshenai,1476,1340,f
4.34E+15,Fri Feb 08 16:42:00 +0800 2019,山东济宁为导演疯狂打call！！！！！,5796460220,133,不是蠢是没脑子,202,192,f
4.34E+15,Fri Feb 08 16:42:11 +0800 2019,科幻电影可以让更多的人热爱科学，只有敢想敢干，才能不断科技创新。想像力非常重要，科幻可以启发孩子们的想像力。 ,1288794453,56,xuehanbo,320,6937,m
