微博id,发布者姓名,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,原始图片url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
HsQdhq5te,死宅一点都不恶心,男,其他,403,341,死宅一点都不恶心:现在才看《流浪地球》，虽然好像有点太晚了。看完感觉很一般，抛开特效不谈，剧情、主角演技、莫名其妙出来的配角们、硬是笑不出来的老梗、强行“北京范”的台词，都只能打一星。主角的“天才”属性更是扯淡，整部电影都是正面体现他的天才（也就是自夸），就不能从其他方面表现出来吗？比如成绩、发明、受父亲影响所以自学很多航天知识等等，这些都能体现出“天才”属性，直到电影放完我都感觉，只有主角光环，没有天才。上了豆瓣看到有人对电影发出了批评，结果底下全是诋毁谩骂，太可怕了…这部电影，豆瓣给7.9分，真的不达标，要知道，《2012》才7.8分 ,无,无,2019/5/5 23:59,微博国际版,1,0,2
HsQcdf94z,忘崽宝贝,女,湖北,273,604,忘崽宝贝:今天才在奇异果看了流浪地球的我，发现这个木星的天空，以前很多次出现在我的梦里。大概十三四岁的时候经常梦见这样的场景，醒来会觉得梦里的景象特别惊艳，所以记得特别深刻，但是现实中根本找不到类似的图片。现在突然看到了和梦境一模一样的场景，我突然觉得莫名玄学。。？难道这些场景以后真的会发生我只是提前预料到了？（随着年龄的增长我好像越来越中二了……） [组图共4张] 原图 ,无,无,2019/5/5 23:57,华为手机 畅享玩不停,1,0,0
HsQa66p97,一盒卡片,女,山西,23,44,一盒卡片:“那是鲸鱼吗？”“应该是吧。”“它怎么在这？”“游这么远，应该也是为了回家吧。”——流浪地球  ,无,无,2019/5/5 23:52,iPhone客户端,0,0,0
HsQ8Li1RZ,我系瑞奇ricky,女,广东,1002,903,我系瑞奇ricky:终于看了流浪地球，觉得视觉效果做得还不错，但心里总觉得差点什么。然后边看豆瓣边点开了星际穿越的页面。觉得好久没有写东西了，脑袋空了很多。要不是念了艺术相关的master，估计继续做research做analyze继续做consulting，我对世界的感知和会更退化一点吧。  原图 ,无,无,2019/5/5 23:48,iPhone,0,0,3
HsQ805Aek,不会说彩虹屁的L,女,广东,126,512,不会说彩虹屁的L:#山支牌海底捞[超话]# 💜mmq#孟美岐 犟##孟美岐舞蹈# 山支大哥 #孟美岐流浪地球#<给爸妈的信%康师傅冰红茶燃战队代言人*加油*ELLEMEN新青年&跳舞]空中软带舞[岐遇;科颜氏首位美肤体验官<[直拍有种<纽约时装周：巴黎时装周[2019还要一起^时尚家居;用孟美岐的方式说情话~@火箭少女101_孟美岐  ,无,无,2019/5/5 23:46,山支牌海底捞超话,0,0,19
HsQ7Q0iYR,林瘦猫,男,海外,366,539366,林瘦猫:人类命运共同体，一个让人热泪盈眶的讲法在浪漫主义灭绝的今天，流浪地球真的很棒  ,无,无,2019/5/5 23:46,微博 weibo.com,125,3,29
HsQ7aDJus,吃瓜群众2020号,女,山东,315,237,吃瓜群众2020号:流浪地球在腾讯看完了，不好看  ,无,无,2019/5/5 23:44,微博极速版,0,0,0
HsQ6Epcee,如果乔不死,男,北京,390,161,如果乔不死:没看的小伙伴，请👇看了流浪地球后，他竟用一天时间能拍出科幻短片！！！ #bilibili# 看了流浪地球后，他竟用一天时间能拍出科幻短片！！！  ,无,无,2019/5/5 23:43,iPhone客户端,0,0,0
HsQ4QrA7l,6Uncle·,女,云南,90,112,6Uncle·:流浪地球  原图 ,无,无,2019/5/5 23:39,前后2000万 OPPO R11,0,0,1
HsQ4EilNQ,Z麗兒Ellen,女,山西,977,420,Z麗兒Ellen:洪崖洞只要一坐电梯就会以为自己在一层的我直到看的电梯的下行按键才发现我走了这么久的地面竟然是四层感觉来到了流浪地球里的地下城 重庆·解放碑  显示地图 [组图共9张] 原图 ,无,无,2019/5/5 23:38,iPhone客户端,2,0,0
